Channel,Season,Status,Color Choice,Gender,Product Line,Product Class,Product Sub Class,Silhouette,Style Code,Style Name,Color,Size Scale,SILHOUETTE USED FOR SIZING,Size Weight Code,,
Ecomm,FAHO25,Active,VW4401WBL,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4401,Restore Classic Sweatpant,Washed Black,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4202BLK,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4202,Sedona Sweatpant,Black,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4202BGR,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4202,Sedona Sweatpant,Bluegrass,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4202BNE,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4202,Sedona Sweatpant,Bone,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4202LHG,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4202,Sedona Sweatpant,Light Heather Grey,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW422BLK,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW422,Weekend Jogger,Black,XS-XL,JOGGER,WNUSECJOGGERS,,
Ecomm,FAHO25,Active,VW422KLE,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW422,Weekend Jogger,Kale,XS-XL,JOGGER,WNUSECJOGGERS,,
Ecomm,FAHO25,Active,VW4028LAG,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4028,Chilled Out Legging,Lagoon,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4028OLV,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4028,Chilled Out Legging,Olive,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4028VDV,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4028,Chilled Out Legging,Vivid Violet,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4028WBL,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4028,Chilled Out Legging,Washed Black,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW444HBK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW444,Clean Elevation Legging,Black Heather,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW444HZH,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW444,Clean Elevation Legging,Blue Haze Heather,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW444HBN,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW444,Clean Elevation Legging,Bone Heather,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW444BIH,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW444,Clean Elevation Legging,Bright Iris Heather,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW444-LHBK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW444-L,Clean Elevation Legging-Long,Black Heather,XS-XL,LEGGINGS - LONG,WNUSECLEGGINGS LONG,,
Ecomm,FAHO25,Active,VW444-LHZH,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW444-L,Clean Elevation Legging-Long,Blue Haze Heather,XS-XL,LEGGINGS - LONG,WNUSECLEGGINGS LONG,,
Ecomm,FAHO25,Active,VW444-LHMD,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW444-L,Clean Elevation Legging-Long,Midnight Heather,XS-XL,LEGGINGS - LONG,WNUSECLEGGINGS LONG,,
Ecomm,FAHO25,Active,VW444-LHRA,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW444-L,Clean Elevation Legging-Long,Raisin Heather,XS-XL,LEGGINGS - LONG,WNUSECLEGGINGS LONG,,
Ecomm,FAHO25,Active,VW444HMD,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW444,Clean Elevation Legging,Midnight Heather,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW444HRA,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW444,Clean Elevation Legging,Raisin Heather,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW444-SHBK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW444-S,Clean Elevation Legging-Short,Black Heather,XS-XL,LEGGINGS - SHORT,WNUSECLEGGINGS SHORT,,
Ecomm,FAHO25,Active,VW444-SHZH,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW444-S,Clean Elevation Legging-Short,Blue Haze Heather,XS-XL,LEGGINGS - SHORT,WNUSECLEGGINGS SHORT,,
Ecomm,FAHO25,Active,VW444-SHMD,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW444-S,Clean Elevation Legging-Short,Midnight Heather,XS-XL,LEGGINGS - SHORT,WNUSECLEGGINGS SHORT,,
Ecomm,FAHO25,Active,VW444-SHRA,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW444-S,Clean Elevation Legging-Short,Raisin Heather,XS-XL,LEGGINGS - SHORT,WNUSECLEGGINGS SHORT,,
Ecomm,FAHO25,Active,VW4309-LBLK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4309-L,Daily Form Legging- Long,Black,XXS-XXL,LEGGINGS - LONG,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4309-LHUK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4309-L,Daily Form Legging- Long,Huckleberry,XXS-XXL,LEGGINGS - LONG,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4309-SBLK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4309-S,Daily Form Legging- Short,Black,XXS-XXL,LEGGINGS - SHORT,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4309-SHUK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4309-S,Daily Form Legging- Short,Huckleberry,XXS-XXL,LEGGINGS - SHORT,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4309BLK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4309,Daily Form Legging,Black,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4309BGR,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4309,Daily Form Legging,Bluegrass,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4309HUK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4309,Daily Form Legging,Huckleberry,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4309SCX,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4309,Daily Form Legging,Slate Crush,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4309STR,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4309,Daily Form Legging,Strawberry,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW323BLK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW323,Daily Legging,Black,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW323BNS,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW323,Daily Legging,Burnt Sienna,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW323LFB,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW323,Daily Legging,Light French Blue,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW323-LBLK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW323-L,Daily Legging-Long,Black,XS-XL,LEGGINGS - LONG,WNUSECLEGGINGS LONG,,
Ecomm,FAHO25,Active,VW323-LSMT,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW323-L,Daily Legging-Long,Spearmint,XS-XL,LEGGINGS - LONG,WNUSECLEGGINGS LONG,,
Ecomm,FAHO25,Active,VW323-SBLK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW323-S,Daily Legging-Short,Black,XS-XL,LEGGINGS - SHORT,WNUSECLEGGINGS SHORT,,
Ecomm,FAHO25,Active,VW323-SSMT,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW323-S,Daily Legging-Short,Spearmint,XS-XL,LEGGINGS - SHORT,WNUSECLEGGINGS SHORT,,
Ecomm,FAHO25,Active,VW323SMT,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW323,Daily Legging,Spearmint,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4193BLK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4193,Daily Piped Legging,Black,XS-XL,LEGGING,WNUSECLEGGINGS,,
Ecomm,FAHO25,Active,VW4193VRI,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4193,Daily Piped Legging,Viridian,XS-XL,LEGGING,WNUSECLEGGINGS,,
Ecomm,FAHO25,Active,VW490BLK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW490,Daily Pocket Legging,Black,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW490LFB,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW490,Daily Pocket Legging,Light French Blue,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW490-LBLK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW490-L,Daily Pocket Legging-Long,Black,XS-XL,LEGGINGS - LONG,WNUSECLEGGINGS LONG,,
Ecomm,FAHO25,Active,VW490-LVRI,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW490-L,Daily Pocket Legging-Long,Viridian,XS-XL,LEGGINGS - LONG,WNUSECLEGGINGS LONG,,
Ecomm,FAHO25,Active,VW490-SBLK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW490-S,Daily Pocket Legging-Short,Black,XS-XL,LEGGINGS - SHORT,WNUSECLEGGINGS SHORT,,
Ecomm,FAHO25,Active,VW490-SVRI,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW490-S,Daily Pocket Legging-Short,Viridian,XS-XL,LEGGINGS - SHORT,WNUSECLEGGINGS SHORT,,
Ecomm,FAHO25,Active,VW490VRI,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW490,Daily Pocket Legging,Viridian,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4364HBK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4364,Halo Henley Legging,Black Heather,XS-XL,LEGGING,WNUSECLEGGINGS,,
Ecomm,FAHO25,Active,VW4364HDJ,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4364,Halo Henley Legging,Dark Java Heather,XS-XL,LEGGING,WNUSECLEGGINGS,,
Ecomm,FAHO25,Active,VW4364SYH,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4364,Halo Henley Legging,Stellar Sky Heather,XS-XL,LEGGING,WNUSECLEGGINGS,,
Ecomm,FAHO25,Active,VW4134BLK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4134,Inversion Rib Legging,Black,XS-XL,LEGGING,WNUSECLEGGINGS,,
Ecomm,FAHO25,Active,VW4134JAV,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4134,Inversion Rib Legging,Java,XS-XL,LEGGING,WNUSECLEGGINGS,,
Ecomm,FAHO25,Active,VW4134LVI,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4134,Inversion Rib Legging,Lavender Ice,XS-XL,LEGGING,WNUSECLEGGINGS,,
Ecomm,FAHO25,Active,VW4134MSM,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4134,Inversion Rib Legging,Marshmallow,XS-XL,LEGGING,WNUSECLEGGINGS,,
Ecomm,FAHO25,Active,VW4013EXS,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4013,Stripe Daily Legging,Espresso Stripe,XS-XL,LEGGING,WNUSECLEGGINGS,,
Ecomm,FAHO25,Active,VW4048TBD,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4048,Textured Chilled Out Legging,TBD,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4363BLK,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4363,Vuori AllTheFeels Corset Legging,Black,XS-XL,BLISSBLEND,WNUSECLEGGINGSBLISSB,,
